gate_id,gate_type,target_role,source_artifact_path,source_exists,required_promotion_state,actual_promotion_state,required_qa_evidence,decision,blocker_or_caveat,next_action_owner
p11_gate_01_baseline_protection,hard,all generated outputs,planning/tfl6_mp11_phase11_artifact_layout.json,True,accepted_model_contract,accepted_model_contract,Candidate roots use MP11 namespace and Phase 5 accepted baseline paths are explicitly protected.,pass,P11.3+ must continue to write only MP11 candidate paths until a replacement runtime passes later QA.,P11.3 candidate manifest
p11_gate_02_source_thlb,hard,stand universe and THLB/NTHLB state,planning/tfl6_mp11_p11_2_candidate_scaffold_decisions.md,True,accepted_candidate_scaffold_contract,accepted_candidate_scaffold_contract_with_caveats,"P9RF resultant-fragment THLB is assigned to candidate scaffold roles for stand universe, THLB/NTHLB state, retained area, managed/unmanaged area, and group-field source, with explicit caveats for review-required, deferred, and sensitive-source steps.",pass,"P9RF may support P11.3 candidate-manifest work only; proposed WHA, uneconomic, archaeology, research-site, big-tree, karst, TUS, and future stand-level reserve caveats remain visible and do not imply runtime or release acceptance.",P11.3 candidate manifest source/THLB caveat fields
p11_gate_03_curve_handoff,hard,natural and managed curves,planning/tfl6_mp11_phase10r_curve_rebuild_closeout.md,True,accepted_model_contract,accepted_phase11_curve_handoff_not_model_input,"All 27 Table 57 managed curves are accounted for, including 25 BTC generated rows and 2 canonical AU curve-reuse rows.",pass,Curves remain not_model_input until P11.3 materializes explicit model-input curve tables.,P11.3 curve table candidate manifest
p11_gate_04_deferred_tables_54_55,hard,early/recent managed curves,planning/tfl6_mp11_phase10r_curve_rebuild_closeout.md,True,deferred,deferred_missing_public_safe_au_mapping,Tables 54/55 existing and recent managed rows remain excluded unless a public-safe AU-code mapping is reviewed and accepted.,pass,This gate passes only as an exclusion rule; P11.3 must not consume Tables 54/55 directly.,Future public-safe AU mapping issue
p11_gate_05_figure_evidence,hard,all numeric model fields,planning/tfl6_mp11_baseline_and_promotion_contract.md,True,accepted_model_contract_or_excluded,excluded_from_model_input,Figure-derived values are limited to comparison/planning roles unless separately promoted through a model-contract decision.,pass,P11.3 must not use comparison-only or planning-only figure values as model-input fields.,P11.3 field-source filter
p11_gate_06_rule_contracts,hard,treatments transitions MHA harvest system operability scenarios,planning/tfl6_mp11_p11_2_candidate_scaffold_decisions.md,True,accepted_candidate_scaffold_contract,accepted_candidate_scaffold_with_deferred_rule_fields,"Treatment and transition defaults reuse Phase 5 scaffold behavior; MP11 MHA, helicopter economic operability, harvest-system assignment, and scenario-policy fields are excluded from accepted model input unless separately promoted.",pass,"Rule fields may appear in P11.3 only as null, deferred, comparison, proxy, QA, or unavailable metadata; this is not MP11 runtime-rule acceptance.",P11.3 candidate manifest rule-status fields
p11_gate_07_schema_bridge,hard,model-input tables and export compatibility,planning/tfl6_mp11_p11_2_candidate_schema_bridge.md,True,accepted_candidate_schema_bridge,accepted_candidate_schema_bridge_manifest_only,"P11.2 names candidate table roles and whether they reuse, replace, extend, or defer the Phase 5 schema/export bridge.",pass,"P11.3 may build a candidate manifest from the bridge, but generated tables still require explicit P11.3 authorization and MP11 candidate paths.",P11.3 candidate model-input manifest
p11_gate_08_private_data,hard,all promoted fields,planning/tfl6_mp11_baseline_and_promotion_contract.md,True,unavailable_non_public_or_public_proxy,unavailable_non_public_or_proxy_only,"WFP LBB, ITI, LEFI, objective weights, and unpublished model internals are explicitly marked unavailable, proxy-only, sensitivity-only, or deferred.",pass,P11.3 must not infer private stand-level data from aggregate public MP11 summaries.,P11.3 private-data exclusion check
p11_gate_09_kpi_reporting,soft,reporting and QA fields,planning/tfl6_mp11_kpi_qa_reporting_contract.md,True,classified_by_downstream_role,comparison_and_reporting_contract_only,"KPI/reporting targets must be separated into model-input, XML/report, runtime, docs, or comparison-only roles.",deferred,Runtime-only and docs-only reporting can defer to Phases 12/13 if P11.3 records that candidate table generation does not require them.,P11.3 candidate manifest non-blocking KPI deferral
p11_gate_10_xml_readiness,soft,ForestModel XML,planning/tfl6_mp11_phase11_artifact_layout.json,True,candidate_manifest_required_before_xml,deferred_until_p11_3_candidate_manifest,P11.4 XML readiness depends on P11.3 candidate model-input manifest or an explicit stop report.,deferred,XML readiness cannot be decided until P11.3 either writes the candidate manifest or remains blocked.,P11.4 XML readiness manifest
p11_gate_11_runtime_boundary,soft,Matrix Builder and Patchworks runtime,planning/tfl6_mp11_phase11_artifact_layout.json,True,phase12_or_later,phase12_or_later,Matrix Builder and Patchworks runtime checks are assigned to Phase 12 unless P11.4 defines a parse-only XML check.,pass,P11.2/P11.3 must not run Matrix Builder or Patchworks runtime.,Phase 12 runtime handoff
